189669 1333035980059000 -1 (2012-03-29T15:46:20.059000 -> null)
189674 1333036957679000 -1 (2012-03-29T16:02:37.679000 -> null)
189677 1333042588821000 -1 (2012-03-29T17:36:28.821000 -> null)
189679 1333043200372000 -1 (2012-03-29T17:46:40.372000 -> null)
189691 1333050466155000 -1 (2012-03-29T19:47:46.155000 -> null)
189702 1333054471417000 -1 (2012-03-29T20:54:31.417000 -> null)
189703 1333054694338000 -1 (2012-03-29T20:58:14.338000 -> null)
189704 1333055107324000 -1 (2012-03-29T21:05:07.324000 -> null)
189707 1333061460819000 -1 (2012-03-29T22:51:00.819000 -> null)
189712 1333065876764000 -1 (2012-03-30T00:04:36.764000 -> null)
189717 1333070690233000 -1 (2012-03-30T01:24:50.233000 -> null)
189719 1333071697795000 -1 (2012-03-30T01:41:37.795000 -> null)
189720 1333072635951000 -1 (2012-03-30T01:57:15.951000 -> null)
189722 1333075135597000 -1 (2012-03-30T02:38:55.597000 -> null)
189723 1333076902175000 -1 (2012-03-30T03:08:22.175000 -> null)
189726 1333080616290000 -1 (2012-03-30T04:10:16.290000 -> null)
189727 1333080888205000 -1 (2012-03-30T04:14:48.205000 -> null)
189729 1333081694764000 -1 (2012-03-30T04:28:14.764000 -> null)
189730 1333083641205000 -1 (2012-03-30T05:00:41.205000 -> null)
189732 1333090416303000 -1 (2012-03-30T06:53:36.303000 -> null)
189733 1333090656878000 -1 (2012-03-30T06:57:36.878000 -> null)
189735 1333091731990000 -1 (2012-03-30T07:15:31.990000 -> null)
189738 1333094155651000 -1 (2012-03-30T07:55:55.651000 -> null)
189744 1333099549553000 -1 (2012-03-30T09:25:49.553000 -> null)
189746 1333100526990000 -1 (2012-03-30T09:42:06.990000 -> null)
189748 1333101845026000 -1 (2012-03-30T10:04:05.026000 -> null)
189756 1333103801072000 -1 (2012-03-30T10:36:41.072000 -> null)
189759 1333106479912000 -1 (2012-03-30T11:21:19.912000 -> null)
189761 1333107289409000 -1 (2012-03-30T11:34:49.409000 -> null)
189762 1333107922792000 -1 (2012-03-30T11:45:22.792000 -> null)
189763 1333109270557000 -1 (2012-03-30T12:07:50.557000 -> null)
189764 1333112113598000 -1 (2012-03-30T12:55:13.598000 -> null)
189767 1333113797172000 -1 (2012-03-30T13:23:17.172000 -> null)
189768 1333114058842000 -1 (2012-03-30T13:27:38.842000 -> null)
189770 1333116931918000 -1 (2012-03-30T14:15:31.918000 -> null)
189778 1333125821522000 -1 (2012-03-30T16:43:41.522000 -> null)
189790 1333149758249000 -1 (2012-03-30T23:22:38.249000 -> null)
189791 1333150586590000 -1 (2012-03-30T23:36:26.590000 -> null)
189792 1333150742346000 -1 (2012-03-30T23:39:02.346000 -> null)
189795 1333153632623000 -1 (2012-03-31T00:27:12.623000 -> null)
189797 1333156082324000 -1 (2012-03-31T01:08:02.324000 -> null)
189799 1333160970915000 -1 (2012-03-31T02:29:30.915000 -> null)
189801 1333163426333000 -1 (2012-03-31T03:10:26.333000 -> null)
189803 1333167612249000 -1 (2012-03-31T04:20:12.249000 -> null)
189805 1333169514296000 -1 (2012-03-31T04:51:54.296000 -> null)
189809 1333179986396000 -1 (2012-03-31T07:46:26.396000 -> null)
189816 1333183266741000 -1 (2012-03-31T08:41:06.741000 -> null)
189819 1333183981573000 -1 (2012-03-31T08:53:01.573000 -> null)
189820 1333184592185000 -1 (2012-03-31T09:03:12.185000 -> null)
